train_acc,train_loss,val_acc,val_loss
0.026400000000000003,4.4454885,0.0444,4.3072267
0.05197894736842106,4.111332,0.0444,4.1688533
0.07612631578947371,3.925326,0.0816,3.8374698
0.0921263157894737,3.8173885,0.0756,4.0894623
0.10614736842105266,3.7273767,0.09440000000000001,3.859246
0.12583157894736843,3.6264384,0.1344,3.5754583
0.13701052631578947,3.5426543,0.11959999999999998,3.8777401
0.15254736842105263,3.4556105,0.1684,3.3879228
0.1672842105263158,3.376497,0.17,3.376212
0.17827368421052633,3.2924922,0.17680000000000004,3.3071625
0.1927578947368421,3.223254,0.19759999999999997,3.2137632
0.20511578947368422,3.151047,0.2108,3.131436
0.2164421052631579,3.083016,0.2284,3.0771058
0.22978947368421054,3.0130067,0.214,3.0691924
0.24075789473684212,2.9564736,0.2396,2.9937112
0.254,2.8892348,0.26280000000000003,2.8378723
0.2628421052631579,2.8410988,0.274,2.796003
0.2773894736842106,2.778613,0.25920000000000004,2.831946
0.2876421052631579,2.7262006,0.27680000000000005,2.8407364
0.2944210526315789,2.6837826,0.2776,2.7328596
0.3032421052631579,2.635331,0.3024,2.6535077
0.31505263157894736,2.5813828,0.27240000000000003,2.7381666
0.3214736842105263,2.5493069,0.2992,2.624669
0.3321473684210526,2.5098095,0.2876,2.7420533
0.33720000000000006,2.472956,0.3024,2.70448
0.34467368421052635,2.4390445,0.32,2.5955374
0.35332631578947366,2.409081,0.3296,2.4640155
0.3641052631578947,2.3660214,0.31560000000000005,2.6275623
0.36635789473684205,2.3518133,0.34,2.4786344
0.3730736842105263,2.3149228,0.34199999999999997,2.4736564
0.3789263157894737,2.2875373,0.33480000000000004,2.4592037
0.3862736842105264,2.2619016,0.332,2.509015
0.38911578947368425,2.235295,0.35559999999999997,2.3586962
0.3981052631578948,2.2132251,0.37079999999999996,2.2898939
0.4010736842105263,2.188484,0.3532,2.4283302
0.4064842105263158,2.1631138,0.35719999999999996,2.3917134
0.4124210526315789,2.144743,0.36440000000000006,2.3973684
0.4170315789473684,2.126706,0.37479999999999997,2.3323252
0.42073684210526313,2.1004798,0.37920000000000004,2.344456
0.42389473684210527,2.0840347,0.3844000000000001,2.2548096
0.4282947368421053,2.0659041,0.37440000000000007,2.3158953
0.4319789473684211,2.0449092,0.37760000000000005,2.2736306
0.43772631578947374,2.0250788,0.3888,2.2895608
0.4410947368421052,2.0115752,0.39480000000000004,2.1941466
0.4455789473684211,1.9907483,0.38480000000000003,2.2868092
0.4535368421052632,1.9744995,0.40240000000000004,2.2136154
0.4537052631578947,1.9614607,0.402,2.233002
0.4595368421052632,1.9355168,0.4072,2.1458123
0.46101052631578954,1.9250742,0.3764,2.376734
0.4673263157894737,1.9100852,0.4168,2.145422
0.470021052631579,1.8983886,0.4116,2.2125309
0.47423157894736845,1.8734794,0.40240000000000004,2.1777477
0.4782315789473684,1.8660676,0.41680000000000006,2.1138666
0.4827578947368421,1.846625,0.4164,2.1196446
0.48416842105263164,1.8309823,0.4188,2.1516948
0.4852,1.8265612,0.4207999999999999,2.096699
0.4904,1.8068303,0.4268,2.1008096
0.4946315789473684,1.7953937,0.4276,2.0890763
0.49747368421052635,1.7852236,0.43,2.08703
0.49907368421052634,1.769419,0.44,2.0455337
0.5057473684210527,1.7540792,0.42800000000000005,2.0958009
0.5071789473684211,1.7440572,0.4364,2.054534
0.5106526315789474,1.7314076,0.4408000000000001,2.0509043
0.5108421052631579,1.7198722,0.4276,2.0517142
0.515157894736842,1.7051487,0.4216,2.1057208
0.5199578947368422,1.6903058,0.4252,2.0778913
0.5185263157894737,1.6886313,0.4372,2.0539865
0.5257263157894737,1.6749066,0.43119999999999997,2.05452
0.5264210526315789,1.6619384,0.44520000000000004,2.0407257
0.5309052631578948,1.6474301,0.4388,2.0416825
0.5348,1.6346344,0.4476,2.0211701
0.5325473684210527,1.6323084,0.45280000000000004,2.025597
0.5356842105263159,1.6252966,0.44400000000000006,2.0085177
0.5380842105263158,1.616332,0.44480000000000003,2.0195963
0.5424631578947369,1.6006998,0.45199999999999996,2.0328736
0.5405473684210528,1.6002079,0.4472,2.0281038
0.5427368421052632,1.5917642,0.4472,2.0254984
0.5461473684210527,1.5810062,0.45600000000000007,1.9854397
0.5472842105263158,1.5726976,0.45159999999999995,1.9834884
0.5469894736842106,1.5701455,0.45879999999999993,1.9873391
0.5497052631578948,1.5659169,0.45280000000000004,1.9940686
0.5531578947368421,1.5515339,0.4536,1.985673
0.5525052631578947,1.5525087,0.46,1.974576
0.557578947368421,1.542162,0.4576,1.9757713
0.5561684210526316,1.5341238,0.45959999999999995,1.9914616
0.5619157894736843,1.5265003,0.45640000000000003,1.9935145
0.5563999999999999,1.535243,0.46120000000000005,1.9801021
0.5587157894736842,1.5334263,0.45280000000000004,1.9819597
0.5613894736842104,1.5221454,0.4536,2.0003753
0.5651789473684211,1.5135989,0.4568,1.9870151
0.5644,1.5143147,0.4568,1.9894732
0.5619368421052633,1.5191054,0.458,1.9900514
0.5650736842105264,1.5124367,0.45399999999999996,1.9925989
0.562821052631579,1.5131707,0.456,1.9855261
0.5658526315789473,1.5099621,0.45559999999999995,1.9992437
0.5691578947368422,1.5011891,0.45160000000000006,1.9825523
0.5643789473684211,1.5034376,0.45719999999999994,1.9860109
0.5684421052631579,1.4952257,0.4604,1.9809365
0.5684210526315789,1.4935969,0.45480000000000004,1.984683
0.5670315789473683,1.498603,0.4536,1.9867146
